CommonID;SectorName;Style;TextRUSingle;TextRUPrular;TextENSingle;TextENPrular;TextUASingle;TextUAPrular
STTN0001;settings;common;Зміни вступлять в силу після перезапуску додатку;;Зміни вступлять в силу після перезапуску додатку;;Зміни вступлять в силу після перезапуску додатку;
STTN0001;settings;official;Зміни вступлять в силу після перезапуску додатку;;Зміни вступлять в силу після перезапуску додатку;;Зміни вступлять в силу після перезапуску додатку;
STTN0001;settings;dude;Зміни вступлять в силу після перезапуску додатку;;Зміни вступлять в силу після перезапуску додатку;;Зміни вступлять в силу після перезапуску додатку;
STTN0002;settings;common;Увага;;Увага;;Увага;
STTN0002;settings;dude;Увага;;Увага;;Увага;
STTN0002;settings;official;Увага;;Увага;;Увага;
STTN0003;settings;official;Warning;;Warning;;Warning;
STTN0003;settings;dude;Warning;;Warning;;Warning;
STTN0003;settings;common;Warning;;Warning;;Warning;
STTN0004;settings;official;Светлая;;Light;;Світла;
STTN0004;settings;dude;Светлая;;Light;;Світла;
STTN0004;settings;common;Светлая;;Light;;Світла;
STTN0005;settings;dude;Українська;;Українська;;Українська;
STTN0005;settings;common;Українська;;Українська;;Українська;
STTN0005;settings;official;Українська;;Українська;;Українська;
STTN0006;settings;official;Внимание;;Внимание;;Внимание;
STTN0006;settings;common;Внимание;;Внимание;;Внимание;
STTN0006;settings;dude;Внимание;;Внимание;;Внимание;
STTN0007;settings;common;Темная;;Dark;;Темна;
STTN0007;settings;official;Темная;;Dark;;Темна;
STTN0007;settings;dude;Темная;;Dark;;Темна;
STTN0008;settings;official;Changes will take effect after application restart;;Changes will take effect after application restart;;Changes will take effect after application restart;
STTN0008;settings;dude;Changes will take effect after application restart;;Changes will take effect after application restart;;Changes will take effect after application restart;
STTN0008;settings;common;Changes will take effect after application restart;;Changes will take effect after application restart;;Changes will take effect after application restart;
STTN0009;settings;official;Системная;;System;;Cистемная;
STTN0009;settings;common;Системная;;System;;Cистемная;
STTN0009;settings;dude;Системная;;System;;Cистемная;
STTN0010;settings;official;English;;English;;English;
STTN0010;settings;common;English;;English;;English;
STTN0010;settings;dude;English;;English;;English;
STTN0011;settings;official;Русский;;Русский;;Русский;
STTN0011;settings;dude;Русский;;Русский;;Русский;
STTN0011;settings;common;Русский;;Русский;;Русский;
STTN0012;settings;common;Цветовая схема;;Appearance;;Кольорова схема;
STTN0012;settings;dude;Цветовая схема;;Appearance;;Кольорова схема;
STTN0012;settings;official;Цветовая схема;;Appearance;;Кольорова схема;
STTN0013;settings;common;%@ был скопирован в буфер;;%@ was copied to clipboard;;%@ був скопійований в буфер;
STTN0013;settings;dude;%@ был скопирован в буфер;;%@ was copied to clipboard;;%@ був скопійований в буфер;
STTN0013;settings;official;%@ был скопирован в буфер;;%@ was copied to clipboard;;%@ був скопійований в буфер;
STTN0014;settings;official;Изменения вступят в силу после перезапуска приложения;;Изменения вступят в силу после перезапуска приложения;;Изменения вступят в силу после перезапуска приложения;
STTN0014;settings;dude;Изменения вступят в силу после перезапуска приложения;;Изменения вступят в силу после перезапуска приложения;;Изменения вступят в силу после перезапуска приложения;
STTN0014;settings;common;Изменения вступят в силу после перезапуска приложения;;Изменения вступят в силу после перезапуска приложения;;Изменения вступят в силу после перезапуска приложения;
ERRR0001;errors;common;Ок;;Ok;;Ок;
ERRR0001;errors;official;Ок;;Ok;;Ок;
ERRR0001;errors;dude;Ок;;Ok;;Ок;
ERRR0002;errors;official;Возникла ошибка, что-то пошло не так;;Something went wrong...;;Виникла помилка, щось пійшло не так;
ERRR0002;errors;common;Возникла ошибка, что-то пошло не так;;Something went wrong...;;Виникла помилка, щось пійшло не так;
ERRR0002;errors;dude;Возникла ошибка, что-то пошло не так;;Something went wrong...;;Виникла помилка, щось пійшло не так;
ERRR0003;errors;official;Проверьте подключение к сети интернет и повторите снова;;Please check your Internet connection and try one more time;;Перевірьте підключення до мережі і попробуйте ще раз;
ERRR0003;errors;common;Проверьте подключение к сети интернет и повторите снова;;Please check your Internet connection and try one more time;;Перевірьте підключення до мережі і попробуйте ще раз;
ERRR0003;errors;dude;Проверьте подключение к сети интернет и повторите снова;;Please check your Internet connection and try one more time;;Перевірьте підключення до мережі і попробуйте ще раз;
ERRR0004;errors;common;Попробуйте еще раз или обратитесь в поддержку в чате;;Please try one more time or contact our support via chat if you still experience the issue;;Спробуйте будь ласка ще раз, або зверніться в підтримку в чаті;
ERRR0004;errors;official;Попробуйте еще раз или обратитесь в поддержку в чате;;Please try one more time or contact our support via chat if you still experience the issue;;Спробуйте будь ласка ще раз, або зверніться в підтримку в чаті;
ERRR0004;errors;dude;Попробуйте еще раз или обратитесь в поддержку в чате;;Please try one more time or contact our support via chat if you still experience the issue;;Спробуйте будь ласка ще раз, або зверніться в підтримку в чаті;
ERRR0005;errors;official;Отсутствует подключение к сети;;There is no Internet connection;;Відсутнє підключення до мережі;
ERRR0005;errors;dude;Отсутствует подключение к сети;;There is no Internet connection;;Відсутнє підключення до мережі;
ERRR0005;errors;common;Отсутствует подключение к сети;;There is no Internet connection;;Відсутнє підключення до мережі;
ERRR0006;errors;official;Ошибка;;Error;;Помилка;
ERRR0006;errors;common;Ошибка;;Error;;Помилка;
ERRR0006;errors;dude;Ошибка;;Error;;Помилка;
PSHC0001;pushActions;dude;Select;;Select;;Select;
PSHC0001;pushActions;official;Select;;Select;;Select;
PSHC0001;pushActions;common;Select;;Select;;Select;
PSHC0002;pushActions;dude;Dismiss;;Dismiss;;Dismiss;
PSHC0002;pushActions;official;Dismiss;;Dismiss;;Dismiss;
PSHC0002;pushActions;common;Dismiss;;Dismiss;;Dismiss;
PSHC0003;pushActions;dude;Reply;;Reply;;Reply;
PSHC0003;pushActions;common;Reply;;Reply;;Reply;
PSHC0003;pushActions;official;Reply;;Reply;;Reply;
PSHC0004;pushActions;official;More Details;;More Details;;More Details;
PSHC0004;pushActions;dude;More Details;;More Details;;More Details;
PSHC0004;pushActions;common;More Details;;More Details;;More Details;
PSHC0005;pushActions;official;Pay Now;;Pay Now;;Pay Now;
PSHC0005;pushActions;common;Pay Now;;Pay Now;;Pay Now;
PSHC0005;pushActions;dude;Pay Now;;Pay Now;;Pay Now;
OTHR0001;other;dude;Светлый;;Light;;Светлый;
OTHR0001;other;official;Светлый;;Light;;Светлый;
OTHR0001;other;common;Светлый;;Light;;Светлый;
OTHR0002;other;dude;Автоматически;;Auto;;Автоматически;
OTHR0002;other;common;Автоматически;;Auto;;Автоматически;
OTHR0002;other;official;Автоматически;;Auto;;Автоматически;
OTHR0003;other;common;Тёмный;;Dark;;Тёмный;
OTHR0003;other;dude;Тёмный;;Dark;;Тёмный;
OTHR0003;other;official;Тёмный;;Dark;;Тёмный;
PRDC0001;productAccountSMEDetails;official;Доступный остаток;;Доступный остаток;;Доступный остаток;
PRDC0001;productAccountSMEDetails;dude;Доступный остаток;;Доступный остаток;;Доступный остаток;
PRDC0001;productAccountSMEDetails;common;Доступный остаток;;Доступный остаток;;Доступный остаток;
PRDC0002;productAccountSMEDetails;dude;Задолженность по комиссиям;;Задолженность по комиссиям;;Задолженность по комиссиям;
PRDC0002;productAccountSMEDetails;common;Задолженность по комиссиям;;Задолженность по комиссиям;;Задолженность по комиссиям;
PRDC0002;productAccountSMEDetails;official;Задолженность по комиссиям;;Задолженность по комиссиям;;Задолженность по комиссиям;
PRDC0003;productAccountSMEDetails;official;История;;History;;Історія;
PRDC0003;productAccountSMEDetails;dude;История;;History;;Історія;
PRDC0003;productAccountSMEDetails;common;История;;History;;Історія;
PRDC0004;productAccountSMEDetails;dude;Общая информация;;Common information;;Загальна інформація;
PRDC0004;productAccountSMEDetails;common;Общая информация;;Common information;;Загальна інформація;
PRDC0004;productAccountSMEDetails;official;Общая информация;;Common information;;Загальна інформація;
PRDC0005;productAccountSMEDetails;dude;Действия;;Действия;;Действия;
PRDC0005;productAccountSMEDetails;common;Действия;;Действия;;Действия;
PRDC0005;productAccountSMEDetails;official;Действия;;Действия;;Действия;
PRDC0006;productAccountSMEDetails;common;Действия;;Действия;;Действия;
PRDC0006;productAccountSMEDetails;dude;Действия;;Действия;;Действия;
PRDC0006;productAccountSMEDetails;official;Действия;;Действия;;Действия;
PRDC0007;productAccountSMEDetails;common;Статус счета;;Статус счета;;Статус счета;
PRDC0007;productAccountSMEDetails;dude;Статус счета;;Статус счета;;Статус счета;
PRDC0007;productAccountSMEDetails;official;Статус счета;;Статус счета;;Статус счета;
PRDC0008;productAccountSMEDetails;official;%@ + овердрафт (%@);;%@ + овердрафт (%@);;%@ + овердрафт (%@);
PRDC0008;productAccountSMEDetails;common;%@ + овердрафт (%@);;%@ + овердрафт (%@);;%@ + овердрафт (%@);
PRDC0008;productAccountSMEDetails;dude;%@ + овердрафт (%@);;%@ + овердрафт (%@);;%@ + овердрафт (%@);
PRDC0009;productAccountSMEDetails;common;Дата закрытия;;Дата закрытия;;Дата закрытия;
PRDC0009;productAccountSMEDetails;official;Дата закрытия;;Дата закрытия;;Дата закрытия;
PRDC0009;productAccountSMEDetails;dude;Дата закрытия;;Дата закрытия;;Дата закрытия;
PRDC0010;productAccountSMEDetails;dude;Управление;;Management;;Керування;
