CommonID;SectorName;Style;TextRUSingle;TextRUPrular;TextENSingle;TextENPrular;TextUASingle;TextUAPrular;;
STTN0001;settings;neutral;Перезапусти приложение, чтобы изменения вступили в силу;;For changes to take effect, restart your app;;Перезапусти додаток, щоб зміни вступили в дію;;;
STTN0001;settings;business;Изменения вступят в силу после перезапуска приложения;;For changes to take effect, application shall be restarted;;Зміни вступлять в силу після перезапуску додатку;;;
STTN0001;settings;friendly;Перезапусти приложение, чтобы все заработало;;Restart app to make it work;;Перезапусти додаток, щоб усе запрацювало;;;
STTN0002;settings;neutral;Внимание;;Warning;;Увага;;;
STTN0002;settings;friendly;Внимание;;Warning;;Увага;;;
STTN0002;settings;business;Внимание;;Warning;;Увага;;;
STTN0003;settings;business;Внимание;;Warning;;Увага;;;
STTN0003;settings;friendly;Внимание;;Warning;;Увага;;;
STTN0003;settings;neutral;Внимание;;Warning;;Увага;;;
STTN0004;settings;business;Светлая;;Light;;Світла;;;
STTN0004;settings;friendly;Светлая;;Light;;Світла;;;
STTN0004;settings;neutral;Светлая;;Light;;Світла;;;
STTN0005;settings;friendly;Українська;;Українська;;Українська;;;
STTN0005;settings;neutral;Українська;;Українська;;Українська;;;
STTN0005;settings;business;Українська;;;;Українська;;;
STTN0006;settings;business;Внимание;;Warning;;Увага;;;
STTN0006;settings;neutral;Внимание;;Warning;;Увага;;;
STTN0006;settings;friendly;Внимание;;Warning;;Увага;;;
STTN0007;settings;neutral;Темная;;Dark;;Темна;;;
STTN0007;settings;business;Темная;;Dark;;Темна;;;
STTN0007;settings;friendly;Темная;;Dark;;Темна;;;
STTN0008;settings;business;Изменения вступят в силу после перезапуска приложения;;For changes to take effect, application shall be restarted;;Зміни вступлять в силу після перезапуску додатку;;;
STTN0008;settings;friendly;Перезапусти приложение, чтобы все заработало;;Restart app to make it work;;Перезапусти додаток, щоб усе запрацювало;;;
STTN0008;settings;neutral;Перезапусти приложение, чтобы изменения вступили в силу;;For changes to take effect, restart your app;;Перезапусти додаток, щоб зміни вступили в дію;;;
STTN0009;settings;business;Системная;;System;;Cистемна;;;
STTN0009;settings;neutral;Системная;;System;;Cистемна;;;
STTN0009;settings;friendly;Системная;;System;;Cистемна;;;
STTN0010;settings;business;English;;English;;English;;;
STTN0010;settings;neutral;English;;English;;English;;;
STTN0010;settings;friendly;English;;English;;English;;;
